"","Space_Flight_1","Space_Flight_2","Space_Flight_3","Ground_Control_1","Ground_Control_2","Ground_Control_3"
"ZNF222",2.78099330310273,2.92115680059909,2.39006156697522,1.83483120560529,1.99473760851492,1.52120198144764
"NPR2",2.24322129667779,2.25095622757582,3.38231513924614,2.4470863219332,3.11963297364668,2.47914019622703
"ZNF221",0.790110894391742,-0.43436252112031,1.13760742795021,1.43363264409206,0.317170645206832,0.224179324309067
"ZNF235",0.681532796986255,0.6078533549922,0.69799806465525,-0.460517538062196,-0.903712138312983,-1.86046510717507
"GNE",4.92349947205114,5.15549070926957,4.88707327669203,4.87442664949322,4.32462619687963,4.0965037437381
"TNFRSF13C",-0.559255192965841,-0.742186846061527,-0.261869465013196,-2.21213415832633,-1.7350211306034,-0.853165992101797
"ARHGAP35",0.518262662866538,0.146193247593137,0.709812286050175,-1.18259261772783,-1.99912508787521,-0.192196935534375
"PTGIR",3.94547355680603,3.90780037318725,4.5619070479947,4.67025283855804,4.7142115686184,4.65811631554489
"CALM3",7.44011195077008,7.25457041273141,7.49710587942334,8.17080280872922,8.43960874345892,8.31385642941165
"DFFA",6.53539524331814,6.15108690399928,6.67323725347226,7.0621375928997,7.38830292684555,7.50162747233324
"CCDC28B",3.85578726464185,3.97236266859046,3.86752993972016,3.80759488653987,4.05067144801067,4.1980666728931
"IQCC",1.96455986166025,2.41156896711902,0.865651246837025,-0.650063714235304,0.00362395795437248,0.712331877173176
"TMEM234",3.79145799914058,3.42911353712759,4.32684647554612,4.60146467285945,5.01762957405466,5.05610514834919
"BSDC1",5.9757856580966,6.0318745627754,5.93123967827697,5.292391735023,4.66869010424295,4.4899956867381
"ZBTB8A",4.7590159642006,4.69365334338875,4.67260867526725,4.87882145264871,5.01258996316076,4.98595771906425
"ATAD3B",5.98033208983425,6.29395684957626,6.39699977322461,5.10409632645359,5.42498152007387,5.31512315711694
"SSU72",6.72056470914045,6.71240884586158,6.90354906487599,7.13211620848286,7.43303534279582,7.62402337943169
"UBE2J2",6.01708123146191,6.1546965739088,6.51706284527871,6.30437450751868,6.18223704053454,6.06758478165509
"ZNF362",2.22119226762812,1.49727681212581,2.65183637246429,3.30924282815163,3.89443636335727,4.15063368816674
"FNDC5",-2.53642220647798,-1.21009283343984,-3.00446441484411,-1.32759296920132,0.370649418105219,-4.09875182374296
"CPAMD8",2.26092618256238,1.95809268894976,3.33076509272209,1.16357802228583,0.605305549623072,0.202643864879638
"NR2F6",6.37028150506058,6.32557657788834,6.79372945597612,6.41547930376912,6.80411693420551,6.88914632746017
"ANKLE1",0.880144471755551,-0.448046769091073,1.39232872316906,-0.755506254514737,0.166228856711079,0.944596252079122
"MIX23",3.33081965106556,3.24302555157021,3.68564956607469,4.78784927924373,4.73627618357816,4.9371629111163
"VMA21",5.03696727703171,4.30137824984335,4.64053195082463,5.83442958816002,5.60912421324675,5.49216087371105
"KALRN",-1.33841531914234,-0.850815709962612,-1.97021693891393,0.645635721511184,2.86116497323689,2.59084898022945
"CILP2",-4.09875182374296,-0.14325685944453,1.2492522379453,-4.09875182374296,0.698584900467573,0.449544878005843
"NA.43",-0.140049841915747,-0.103793555762086,0.171893555499154,-0.0283902890799847,-0.386846762573055,0.913385975692554
"ABCG1",3.24603981378988,3.60611411883179,3.43091676493823,3.25600064344004,2.31999094937381,2.703135863014
"WDR4",0.123360206956242,1.32471241306544,1.12491370739478,3.2164090492347,4.21609140941093,3.78350715956021
"NDUFV3",5.61708535393108,5.72095794632946,5.63047921229713,6.15982309253831,6.15348270855486,6.05823101243313
"PKNOX1",2.92588919310358,2.03897548346439,1.91694379839394,2.02345115137537,2.7904950793631,1.8244079111711
"CBS",3.09113495460225,3.87509357681438,5.24161294342455,4.45707461329093,3.55815090569698,3.92905512408897
"U2AF1",7.2191782645816,7.29120998517166,7.48050893913,7.27225154900604,7.51871887832227,7.67868675209942
"HSF2BP",1.84616845715616,2.09457510566719,1.97650765372716,1.10945116089174,0.0934310931052654,0.226440237579607
"RRP1B",5.94804069836479,5.69436839583994,5.59210134775139,5.32727738467091,5.11083695023134,5.17058276311299
"PDXK",8.3962945045121,8.80961718091493,8.5368597623439,8.16188166012846,8.04502523187991,8.17412451387937
"G6PD",5.44217646296332,4.75767636107944,6.02151958742055,6.89278082766599,6.76102182653403,6.73415807299277
"CSTB",6.39385088377856,6.81038876549878,6.59722790306512,7.39234123815428,7.6231033043664,7.85257466519598
"RRP1",3.64636239362859,3.94010198727112,4.1163123589121,3.28856348152372,3.52952985655429,3.38825507047662
"AGPAT3",7.05748228120908,6.70149507394879,7.02206864671337,6.98564183365799,6.91288999408637,6.97887113961516
"TRAPPC10",3.15817789234569,1.72868624358621,2.36773160684763,2.97728938846175,3.75888768804582,3.6422033680087
"GAB3",1.2731799683902,0.723229501638622,1.1005418295574,-0.241175040900713,1.7202225030557,0.802718570259066
"GATD3",4.34217633123833,4.44149863443723,4.93847702554335,4.69294373781186,5.14898223861947,5.32523295096403
"ICOSLG",2.07146148642329,3.00444158974676,3.13152575041474,2.63645655829284,3.93581291513969,4.15740450498459
"AIRE",-0.939891204188185,-1.33796106631237,0.715668388396526,-0.702154098446799,-2.04791091679181,-2.66209255476307
"CFAP410",5.1339038173942,5.53119125807743,5.76491022121324,4.71643465110887,4.79214542401103,4.9893980325238
"ZNF66",-1.05098328252614,0.50467117288896,-0.812561536603596,-0.33940059914216,-2.68205144164568,-0.11739959872961
"LRRC3",0.131571838385186,-0.248766013607005,0.512803614491398,1.81021132994214,2.02568223859989,2.43868820476891
"SLX9",5.10516469405406,5.36125025179246,5.6186793598825,5.06644545160505,5.54222914060206,5.74887602817484
"RALGDS",4.4565724212246,4.86111262233581,4.91907055463172,4.30746411125547,4.60939818717782,4.35985971067193
"FTCD",1.15250541806538,1.15500585267655,1.49459463297168,1.20357052497743,1.76391030749039,1.20999624689298
"SPATC1L",5.02342792445942,5.44535551152032,5.62612639025115,5.1877004459073,5.37465773161493,5.58843158284564
"LSS",5.88262072299066,6.39036220406029,6.41542940683622,4.8399525582633,5.60570678930078,5.91377520330753
"VAV2",5.72869204549732,5.76099773219998,6.22080175509605,5.4633764067389,5.63678229773701,5.6477470966704
"MCM3AP",6.6123446395297,6.52460626812514,6.77719129880495,6.64623059623567,6.5734550708573,6.56133562350723
"C21orf58",1.02852010453381,1.14454415617641,1.6231573135831,0.757535322777821,0.911045383269934,1.16294321885857
"PCNT",3.94969130567555,3.99215936047908,3.85989083328407,3.72923953655619,3.2166742489028,4.1958405923215
"DIP2A",6.64268117260234,7.00901597145937,6.68948423377198,5.17650784982195,5.13965766700888,5.01221201924408
"PRMT2",5.73991197716412,5.714623975077,5.87030560966804,7.15677674069889,7.10118324762084,7.03972886867331
"CLDND2",-0.136902166943169,0.668990305861405,-0.813239089301127,1.01048696597143,0.74562609123678,0.960064868652007
"ZNF208",-1.26912242813023,-1.32308737910672,-0.857338187301635,-2.43091985609587,-1.98411994322065,-1.85202103797783
"ADAMTS13",3.20485335018643,2.91016628443383,3.66324991823995,3.89346512420321,3.92640903454071,4.03138927741473
"CACFD1",3.08266495084721,2.54062847681527,2.7844485910512,1.37781134008056,0.38528986613077,-0.250808034153952
"SLC2A6",2.94945129063501,1.05004964730434,3.78576902858379,4.30531244312262,5.47260227272268,5.65620137069814
"ZNF761",3.46925171899057,3.94457968981864,3.68005927093675,3.79454813468493,3.20579310026659,3.15665487454031
"PIERCE1",-1.28691885147343,-0.0617896279146652,0.501957707455763,-1.00728358626015,1.126949192624,1.49301747780916
"ZNF714",3.43093142654019,3.61986515473383,2.74676609329653,2.24718958309211,1.68059821077177,1.52316735590731
"GPSM1",6.1612469791424,6.33942564330046,6.87827340223514,5.85086604706132,6.1070772639892,6.21749683378018
"C19orf47",1.70365469879788,1.84949548241518,2.35660131418344,3.10744461311933,3.77953506270785,3.88118028577406
"CFAP157",-2.4536858391829,-3.12452204258723,-2.2267213958372,-0.564759551013908,-0.651952586361889,0.141242101063151
"TOR2A",2.07996233688568,2.25115237232959,2.02435066938998,3.07279376894558,3.4748577764309,3.36998727692343
"ST6GALNAC6",6.4072028607606,6.61432571401673,6.78182330396423,5.96225377937607,6.42358109734003,6.37967626620306
"SHKBP1",5.66531025865592,5.32737104332918,6.06779646328084,6.00084777713353,6.42791763655203,6.72881680720515
