"ENSEMBL","ENTREZID","SYMBOL","GENENAME","logFC","logCPM","F","PValue","FDR"
"ENSG00000154265","23461","ABCA5","ATP binding cassette subfamily A member 5",2.58412609936816,4.35183937889549,168.533481398139,1.84557242754903e-06,0.000260319661399108
"ENSG00000141198","10040","TOM1L1","target of myb1 like 1 membrane trafficking protein",3.12188637909299,4.06299196253697,168.36882254767,1.85281419654927e-06,0.000260319661399108
"ENSG00000233016","84973","SNHG7","small nucleolar RNA host gene 7",3.28656709797725,6.76668932405175,168.251443117255,1.85638952875793e-06,0.000260319661399108
"ENSG00000145824","9547","CXCL14","C-X-C motif chemokine ligand 14",-4.30857025457155,1.20844253291796,169.324231691438,1.89180466069577e-06,0.000263276148613495
"ENSG00000112852","56133","PCDHB2","protocadherin beta 2",-4.31817950701539,1.95833804473603,170.177283444868,1.9092351055412e-06,0.000263704126983397
"ENSG00000139329","4060","LUM","lumican",-5.7972245023661,4.39354172772871,164.631738219635,2.03617584100955e-06,0.000279138434323474
"ENSG00000272398","100133941","CD24","CD24 molecule",-2.61885743256289,5.11373114305565,163.416657250132,2.06530236416093e-06,0.00027936339218248
"ENSG00000123610","7130","TNFAIP6","TNF alpha induced protein 6",-3.36730175674535,5.73344622720301,163.318618377628,2.06983481728344e-06,0.00027936339218248
"ENSG00000282607","8972","MGAM","maltase-glucoamylase",-4.80757922456,3.81412417000139,163.09431204664,2.09411076227017e-06,0.00027936339218248
"ENSG00000229647",NA,NA,NA,-6.63430976920219,1.79605346715135,106.278440461377,2.09878887320351e-06,0.00027936339218248
"ENSG00000198712","4513","MT-CO2","cytochrome c oxidase subunit II",-1.99702967731408,10.9596949788953,162.372327869847,2.11385473671011e-06,0.00027936339218248
"ENSG00000167996","2495","FTH1","ferritin heavy chain 1",-3.34101901992833,14.1541171269073,161.726119136392,2.14483847624035e-06,0.000281433448632395
"ENSG00000154654","4685","NCAM2","neural cell adhesion molecule 2",-4.38470879366688,1.86229134301105,164.908591117175,2.16055159088929e-06,0.00028148462925274
"ENSG00000278259","80179","MYO19","myosin XIX",1.9317378535837,5.48776036265647,160.264508812751,2.2170800046781e-06,0.000285220579611887
"ENSG00000108691","6347","CCL2","C-C motif chemokine ligand 2",-2.71322969207101,7.54553854485708,159.941779190681,2.23342521315379e-06,0.000285220579611887
"ENSG00000126549","6779","STATH","statherin",-5.01983673482734,0.963601090321969,137.274545690804,2.24776573889812e-06,0.000285220579611887
"ENSG00000120075","3215","HOXB5","homeobox B5",-3.21138647773088,2.60061295047212,159.594082629259,2.26180953450749e-06,0.000285220579611887
"ENSG00000153976","9955","HS3ST3A1","heparan sulfate-glucosamine 3-sulfotransferase 3A1",-2.07373175380232,5.57227448395865,159.187684196926,2.27226986374487e-06,0.000285220579611887
"ENSG00000197958","6136","RPL12","ribosomal protein L12",1.62294505328033,10.1586630522901,158.190007929515,2.32493190512132e-06,0.000285220579611887
"ENSG00000158966","57685","CACHD1","cache domain containing 1",-3.84149346833581,3.15564494096159,158.382611062598,2.32550905733714e-06,0.000285220579611887
"ENSG00000158006","5051","PAFAH2","platelet activating factor acetylhydrolase 2",-2.58381489111205,4.51874807922786,158.085625110162,2.33126549184446e-06,0.000285220579611887
"ENSG00000120324","56126","PCDHB10","protocadherin beta 10",-4.35217637450732,0.0338918310576206,121.595083331915,2.33653939825525e-06,0.000285220579611887
"ENSG00000157600","84187","TMEM164","transmembrane protein 164",-2.23301085693895,4.41159423376662,157.834871771435,2.3444914274031e-06,0.000285220579611887
"ENSG00000121552","1475","CSTA","cystatin A",-3.05567674729745,2.52550834057367,157.221113424669,2.38789715719347e-06,0.000288589939326605
"ENSG00000204442","728215","NALF1","NALCN channel auxiliary factor 1",-2.44364896193434,5.38889872827908,156.108002887522,2.44029370830063e-06,0.000291652984463269
"ENSG00000160633","6294","SAFB","scaffold attachment factor B",2.26929318888518,7.08225280264838,156.019455824634,2.44499507933279e-06,0.000291652984463269
"ENSG00000237724","3303","HSPA1A","heat shock protein family A (Hsp70) member 1A",4.6343969281564,9.47368928217928,155.489190913364,2.47550777430555e-06,0.000292895452853432
"ENSG00000178773","27132","CPNE7","copine 7",2.2481108682436,5.88495693323602,155.286711621459,2.48729943631657e-06,0.000292895452853432
"ENSG00000197852","55924","INKA2","inka box actin regulator 2",-3.59213084107067,5.07504618276314,154.746097322096,2.51997824355222e-06,0.000294853505312448
"ENSG00000146374","84870","RSPO3","R-spondin 3",-2.92492513162954,4.34538292546864,154.327887752504,2.54526779066563e-06,0.000295074136193147
"ENSG00000114251","7474","WNT5A","Wnt family member 5A",-2.23901885643702,7.13046525282979,154.162457533062,2.55398952937999e-06,0.000295074136193147
"ENSG00000257219","105369848","LNCOG","lncRNA osteogenesis associated",-5.32302202240208,2.78045683751366,156.739763982399,2.59253628772839e-06,0.000295350361926912
"ENSG00000251369","162972","ZNF550","zinc finger protein 550",2.71322877831126,4.03964730264046,153.283981090623,2.60878555962664e-06,0.000295350361926912
"ENSG00000119705","81892","SLIRP","SRA stem-loop interacting RNA binding protein",-1.89400311445621,5.93832494122025,153.019136346843,2.62416642282207e-06,0.000295350361926912
"ENSG00000102144","5230","PGK1","phosphoglycerate kinase 1",3.00391539257407,7.24429275019915,152.569919056357,2.65239379810103e-06,0.000295350361926912
"ENSG00000188846","9045","RPL14","ribosomal protein L14",1.49922870324327,10.5662622568615,152.327197405535,2.6678034337021e-06,0.000295350361926912
"ENSG00000108518","5216","PFN1","profilin 1",-1.81493118347787,10.6268823855422,152.282223800803,2.67067217251899e-06,0.000295350361926912
"ENSG00000180573","8334","H2AC6","H2A clustered histone 6",-3.70161659979534,6.79952057617492,151.847390038782,2.69864500509526e-06,0.000295350361926912
"ENSG00000144152","129804","FBLN7","fibulin 7",3.83722407742186,5.36252834110045,151.851069171053,2.69923229262125e-06,0.000295350361926912
"ENSG00000230724",NA,NA,NA,3.67804585187262,3.05036143327785,151.952524976743,2.7010811542581e-06,0.000295350361926912
"ENSG00000186642","5138","PDE2A","phosphodiesterase 2A",2.91868989283367,4.01238120730065,151.479369783379,2.72394906326978e-06,0.000296088427764887
"ENSG00000154734","9510","ADAMTS1","ADAM metallopeptidase with thrombospondin type 1 motif 1",-2.29661923525236,4.83634343908864,150.886241925406,2.7621233372286e-06,0.000298471798264055
"ENSG00000144136","6574","SLC20A1","solute carrier family 20 member 1",-1.72262795680689,8.88395910767704,150.286103058952,2.80201953815904e-06,0.000301012274362465
"ENSG00000140280","256586","LYSMD2","LysM domain containing 2",-3.38550900837359,1.92925461374331,150.634967799521,2.82810629952716e-06,0.000302048329780895
"ENSG00000145730","5066","PAM","peptidylglycine alpha-amidating monooxygenase",-1.65146652051376,8.05583821303565,149.560845191416,2.85175775017886e-06,0.000302813814281998
"ENSG00000116106","2043","EPHA4","EPH receptor A4",-2.49101000748232,4.17309776537305,148.959304950958,2.89484613687466e-06,0.00030330823013541
"ENSG00000087088","581","BAX","BCL2 associated X, apoptosis regulator",-2.56005411726859,8.16823664642236,148.814454301786,2.90411575839334e-06,0.00030330823013541
"ENSG00000129255","9526","MPDU1","mannose-P-dolichol utilization defect 1",-2.58370710444962,5.44419765135881,148.794468120126,2.90594711506979e-06,0.00030330823013541
"ENSG00000218336","55714","TENM3","teneurin transmembrane protein 3",-3.88835360474246,3.97049720791145,148.247117194344,2.94989412706427e-06,0.000305451568072961
"ENSG00000120594","84898","PLXDC2","plexin domain containing 2",-4.90115496258325,2.06335170716156,151.154880475178,2.96537821618373e-06,0.000305451568072961
"ENSG00000204219","6920","TCEA3","transcription elongation factor A3",2.46156601537331,4.54282181790623,147.786207266473,2.9788663679213e-06,0.000305451568072961
"ENSG00000175305","9134","CCNE2","cyclin E2",5.90633700326513,0.223793994933066,76.9891258779034,2.99299304589727e-06,0.000305451568072961
"ENSG00000153233","5801","PTPRR","protein tyrosine phosphatase receptor type R",-3.20128532151949,2.52026725094076,147.070006442069,3.04660361836003e-06,0.000309205019167258
"ENSG00000166562","90701","SEC11C","SEC11 homolog C, signal peptidase complex subunit",-3.04776806458611,4.1726717767833,145.773645536216,3.13226113590908e-06,0.000316151852014559
"ENSG00000198756","23127","COLGALT2","collagen beta(1-O)galactosyltransferase 2",-7.86831191832455,0.865245984835527,127.318091880812,3.17225108623378e-06,0.00031701005121339
"ENSG00000102007","5355","PLP2","proteolipid protein 2",1.58690855881596,7.70713660870646,145.203544159258,3.1752775951695e-06,0.00031701005121339
"ENSG00000184163","388581","C1QTNF12","C1q and TNF related 12",3.49542176526657,4.36668814015054,144.789660817565,3.21030201656757e-06,0.00031782629714382
"ENSG00000183098","10082","GPC6","glypican 6",-2.24346659086472,4.98133782067466,144.67532750699,3.21805613874527e-06,0.00031782629714382
"ENSG00000171202","84233","TMEM126A","transmembrane protein 126A",-2.54817616606288,4.8538203215611,143.901041944979,3.28143433566875e-06,0.000322352667092165
